geo_key,geo_name,slope
"toronto, ontario","Toronto (CMA), Ontario",-1320.1775025799823
"montrã©al, quebec","MontrÃ©al (CMA), Quebec",-452.9948400412779
"vancouver, british columbia","Vancouver (CMA), British Columbia",-446.3993808049506
"quã©bec, quebec","QuÃ©bec (CMA), Quebec",-94.747162022705
"red deer, alberta","Red Deer (CMA), Alberta",-55.056759545924045
"barrie, ontario","Barrie (CMA), Ontario",-45.82146542827514
"moncton, new brunswick","Moncton (CMA), New Brunswick",-29.72858617131063
"greater sudbury, ontario","Greater Sudbury (CMA), Ontario",-17.950464396285664
"kelowna, british columbia","Kelowna (CMA), British Columbia",-15.3426212590296
"nanaimo, british columbia","Nanaimo (CMA), British Columbia",-11.69556243550074
"drummondville, quebec","Drummondville (CMA), Quebec",-2.5098039215687904
"saint john, new brunswick","Saint John (CMA), New Brunswick",4.2249742002062325
"oshawa, ontario","Oshawa (CMA), Ontario",5.378740970072487
"st. john's, newfoundland and labrador","St. John's (CMA), Newfoundland and Labrador",8.560371517027717
"abbotsford-mission, british columbia","Abbotsford - Mission (CMA), British Columbia",9.471620227038633
"sherbrooke, quebec","Sherbrooke (CMA), Quebec",11.230134158927553
"regina, saskatchewan","Regina (CMA), Saskatchewan",11.38596491228041
"kamloops, british columbia","Kamloops (CMA), British Columbia",13.696594427243879
"winnipeg, manitoba","Winnipeg (CMA), Manitoba",17.648090815273786
"thunder bay, ontario","Thunder Bay (CMA), Ontario",24.660474716202238
"trois-riviã¨res, quebec","Trois-RiviÃ¨res (CMA), Quebec",27.485036119710845
"brantford, ontario","Brantford (CMA), Ontario",29.00928792569658
"kitchener-cambridge-waterloo, ontario","Kitchener - Cambridge - Waterloo (CMA), Ontario",29.321981424148746
"fredericton, new brunswick","Fredericton (CMA), New Brunswick",30.44169246646055
"guelph, ontario","Guelph (CMA), Ontario",35.313725490195935
"halifax, nova scotia","Halifax (CMA), Nova Scotia",38.25077399380845
"peterborough, ontario","Peterborough (CMA), Ontario",42.5479876160993
"windsor, ontario","Windsor (CMA), Ontario",52.363261093912804
"hamilton, ontario","Hamilton (CMA), Ontario",59.32404540763899
"kingston, ontario","Kingston (CMA), Ontario",70.60474716202363
"saskatoon, saskatchewan","Saskatoon (CMA), Saskatchewan",74.02063983488183
"saguenay, quebec","Saguenay (CMA), Quebec",75.16924664602685
"lethbridge, alberta","Lethbridge (CMA), Alberta",75.49638802889591
"chilliwack, british columbia","Chilliwack (CMA), British Columbia",107.54489164086698
"victoria, british columbia","Victoria (CMA), British Columbia",127.79979360165171
"calgary, alberta","Calgary (CMA), Alberta",137.9473684210554
"st. catharines-niagara, ontario","St. Catharines - Niagara (CMA), Ontario",178.56656346749335
"london, ontario","London (CMA), Ontario",181.54901960784267
"edmonton, alberta","Edmonton (CMA), Alberta",194.5376676986585
"ottawa-gatineau, ontario/quebec","Ottawa - Gatineau (CMA), Ontario/Quebec",297.0980392156852
